n_train,mae_test,gamma,alpha,median_squared_distance
100,15.504196216748502,0.00012111473159196903,1e-06,825.6633911132812
250,10.82223712827437,0.00012136667588423262,1e-06,823.9494018554688
500,7.6134790245341595,0.00012176142044685194,1e-06,821.2781982421875
1000,3.696746442425145,0.00012049231229042178,1e-06,829.928466796875
2000,1.2399474278714606,0.00012028563138797168,1e-06,831.3544921875
4000,0.3376468104857751,0.00012206795513525822,1e-06,819.2158203125
8000,0.1348793566380519,0.00012203284190981994,1e-06,819.4515380859375
